send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts
2026-04-08,2026-04-07,11-294701,I,2026,Jl. Baloi Taman Kota Mas,Kota Batam,COCO,SBM Kepulauan Riau I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"96,46","96,67",100,"98,56",92,"85,4",Pasti Pas Excellent,
2026-04-09,2026-04-08,11-294703,I,2026,"Jl  Yos Sudarso, Baloi Kota Batam",Kota Batam,COCO,SBM Kepulauan Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"92,66","96,67",100,"96,14",92,"52,3",Pasti Pas Good,
2026-04-14,2026-04-10,13-203111,I,2026,"Tuntungan I, Pancur Batu, Deli Serdang",Kab. Deli Serdang,CODO I,SBM Medan II Fuel,CA,TAG1,CERTIFIED,NOT CERTIFIED,"87,14","91,78","94,25","91,87",85,"39,16",Pasti Pas Good,
2026-04-22,2026-04-20,13-203188,I,2026,"Jl. Pahlawan Pekan Dolok Masihul, Kecamatan Dolok Masihul, Kabupaten Serdang Bedagai",Serdang Bedagai,CODO,SBM Medan II Fuel,Re-CA3,BOA1,NOT CERTIFIED,NOT CERTIFIED,"51,6","53,78","34,83","66,7",74,"37,3",Basic,"Masa Berlaku APAR, Izin Prinsip, Jalur Fast Track, HP"
2026-04-10,2026-04-08,13-211118,I,2026,"Jl. Rakutta Sembiring, No. 74, Siantar Martoba",Kota PematangSiantar,CODO I,SBM Medan III Fuel,TAG3,DAG1,CERTIFIED,NOT CERTIFIED,"91,12",96,100,"89,79",85,"58,66",Pasti Pas Good,
2026-04-25,2026-04-25,13-212102,I,2026,"Jl. Lintas Sumatera KM. 142, Kel. Suka Makmur, Kec. Sei Balai, Batubara",Kab. Batubara,CODO,SBM Medan IV Fuel,Re-CAE3,BOA1,NOT CERTIFIED,NOT CERTIFIED,"57,96","60,44","48,95","70,15","65,5","38,53",Basic,"Masa Berlaku APAR, Izin Prinsip"
2026-04-22,2026-04-20,13-227116,I,2026,"Jl. Raja Inal Siregar, Batunadua Julu, Kec. Padangsidimpuan Batunadua, Kota Padang Sidempuan",Kodya P Sidempuan,,SBM Sibolga III Fuel,Re-CA3,BOA1,NOT CERTIFIED,NOT CERTIFIED,"60,18","55,11","61,67","70,5","79,5","33,46",Basic,"Nol, Masa Berlaku APAR, Izin Prinsip, Jalur Fast Track, PELUMAS"
2026-04-23,2026-04-22,13-229105,I,2026,"Jl. Trans Sumatera Bukittinggi - Padang Sidempuan, Kabupaten Mandailing Natal",Kab. Madina,CODO I,SBM Sibolga III Fuel,Re-CA3,BOA1,NOT CERTIFIED,NOT CERTIFIED,"70,2","81,11","59,65","70,79","92,5",34,Basic,"Masa Berlaku APAR, Izin Prinsip"
2026-04-20,2026-04-16,13-244403,I,2026,"Jalan Kuala SimpangÂ â€“Â Rantau, Desa Landuh, Kec Rantau",Kab Aceh Tamiang,CODO I,SBM Aceh II Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,"3,63",0,0,"5,3",10,"15,5",Pasti Pas Good,"Trims, DU Dispenser, Masa Berlaku APAR, Salam, APAB, Grounding, Izin Prinsip, Jalur Fast Track, PELUMAS, HP, Produk JBU"
2026-04-15,2026-04-13,13-256507,I,2026,"Jl.raya padang-bengkulu km 162,kel.punggasan,kec. Linggo sari",Kab Pesisir Selatan,CODO I,SBM Sumatera Barat I Fuel,DAG1,TAG1,NOT CERTIFIED,NOT CERTIFIED,"90,09","96,67",100,"82,88",94,"51,01",Pasti Pas Good,
