send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-12-08,2025-12-08,11-294701,I,2025,Jl. Baloi Taman Kota Mas,Kota Batam,COCO,SBM Kepulauan Riau I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,96.02,96.67,98.17,99.17,97.00,80.20,Pasti Pas Excellent,,
2025-12-13,2025-12-12,11-294703,I,2025,"Jl  Yos Sudarso, Baloi Kota Batam",Kota Batam,COCO,SBM Kepulauan Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.31,93.33,98.08,93.50,99.00,52.81,Pasti Pas Good,,NFR
2025-12-22,2025-12-20,13-282605,I,2025,"Jl. Dahlia, Sukajadi Pekanbaru",Kota Pekanbaru,CODO I,SBM Riau I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,88.84,87.67,100.00,90.38,94.00,50.61,Pasti Pas Good,,NFR
2025-12-15,2025-12-14,13-282606,I,2025,JL. RAWAMANGUN KEL. TANGKERANG LABU,Kota Pekanbaru,,SBM Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.83,81.67,100.00,93.86,94.50,71.00,Pasti Pas Good,,Jalur Fast Track
2025-12-08,2025-12-05,13-282610,I,2025,JL. PAUS KEL. TANGKERANG KEC. MARPOYAN DAMAI,Kota Pekanbaru,,SBM Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.24,83.33,98.17,90.69,96.00,50.61,Pasti Pas Good,,NFR
2025-12-19,2025-12-18,13-282612,I,2025,Jl. SM. Amin Panam Pekanbaru,Kota Pekanbaru,,SBM Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.28,87.33,100.00,93.86,99.00,64.00,Pasti Pas Good,,NFR
2025-12-29,2025-12-27,13-282634,I,2025,"Jl. Soekarno Hatta, Pekanbaru",Kota Pekanbaru,CODO I,SBM Riau I Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,89.59,89.67,96.35,92.75,97.00,53.18,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-12-04,2025-12-04,13-284607,I,2025,Jl. Garuda Sakti Km. 8 Kel. Karya Indah Kec. Tapung,Kab.Kampar,CODO I,SBM Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,88.95,88.33,96.97,91.34,92.50,58.50,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-12-23,2025-12-20,13-284626,I,2025,"Pekanbaru - Kuansing, Lipat Kain, Kampar",Kab Kampar,CODO I,SBM Riau I Fuel,TAG3,DAG1,CERTIFIED,NOT CERTIFIED,92.89,91.33,100.00,95.21,99.00,65.30,Pasti Pas Good,,NFR
2025-12-02,2025-12-02,13-287620,I,2025,"Jl. Rangau Km. 7, Kel. Pematang Pudu, Kec. Mandau, Duri, Kab. Bengkalis",Kab Bengkalis,,SBM Riau II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.92,90.67,96.52,93.34,96.50,54.30,Pasti Pas Good,,NFR
2025-12-08,2025-12-05,13-287637,I,2025,Jl. Jendral Sudirman,Kab. Bengkalis,CODO I,SBM Riau II Fuel,DAG1,DAG2,CERTIFIED,NOT CERTIFIED,87.86,86.00,94.52,93.90,97.00,52.21,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-12-23,2025-12-22,13-288601,I,2025,"Jl. Prof. M. Yamin, No. 01, Dumai",Kab.Dumai,CODO I,SBM Riau II Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,89.05,81.33,100.00,93.54,97.00,62.51,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-12-11,2025-12-10,13-291702,I,2025,"Komp.Bintan Centre, Terminal Bus, Km.9",Kota Tanjung Pinang,CODO I,SBM Kepulauan Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.81,91.67,100.00,88.85,95.00,60.46,Pasti Pas Good,,"NFR, Jalur Fast Track"
