send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2026-02-24,2026-02-24,44-57423,IV,2026,"Jl. Ds. Kenatan, Ngawen",Kab Klaten,,SBM Yogyakarta III Fuel,BOA1,CA,CERTIFIED,"90,38","85,67","95,96","89,78",Basic,
2026-02-25,2026-02-24,54-60135,V,2026,Jl. Darmo Indah Timur No.12-14,Kota Surabaya,,SBM Surabaya I Fuel,BOA1,BOA2,NOT CERTIFIED,"65,68","63,33","71,6","63,28",Basic,"APAR, Pelumas"
2026-02-25,2026-02-24,84-97503,VIII,2026,LOKASI DESA LALA KEC.NAMLEA,KAB.BURU,,SBM Maluku II,BOA1,CA,CERTIFIED,"97,93","96,33",100,"97,68",Basic,
2026-02-25,2026-02-24,14-221242,I,2026,LOKASI TIGA BINANGA,Kab Karo,,SBM Medan V Fuel,BOA1,BOA2,NOT CERTIFIED,"52,78","28,33","59,04","66,08",Basic,"HP, Masa Berlaku APAR, Izin Prinsip, Salam, Trims, Pelumas"
2026-02-25,2026-02-24,54-60198,V,2010,Jl. Ploso Baru No.183-185 Kel. Ploso Kec. Tambak Sari,Kota Surabaya,DODO,SBM Surabaya I Fuel,BOA1,BOA2,NOT CERTIFIED,"88,75","85,33","90,71","89,85",Basic,CCTV
2026-02-24,2026-02-24,34-17114,III,2026,"JL.CUT MUTIAH, KODYA BEKASI",Kodya Bekasi,,SBM Karawang I Fuel,BOA1,CA,CERTIFIED,"87,92","85,67","92,74",86,Basic,
2026-02-25,2026-02-23,14-284605,I,2026,JL.Raya Ujung Batu Kab.Rokan Hulu,Kab Rokan Hulu,DODO,SBM Riau II Fuel,BOA1,BOA2,NOT CERTIFIED,"92,28","89,67",100,"88,45",Basic,Masa Berlaku APAR
2026-02-25,2026-02-23,54-60255,V,2026,Jl. Raya Menganti No.772,Kota Surabaya,,SBM Surabaya I Fuel,BOA1,BOA2,NOT CERTIFIED,"59,23","51,33","75,76","53,08",Basic,"APAR, Masa Berlaku APAR, Izin Prinsip"
2026-02-25,2026-02-23,84-98403,VIII,2026,JL. KLAMONO KM. 18 KEC. AIMAS SORON,Kota Sorong,DODO,SBM Papua Barat I,BOA1,BOA2,NOT CERTIFIED,"55,39","73,67","33,44","57,74",Basic,"Masa Berlaku APAR, Pelumas, APAR, Izin Prinsip"
2026-02-25,2026-02-23,14-284646,I,2026,Pasir Pangaraian Simpang Kumu Kab.Rokan Hulu,Kab Rokan Hulu,,SBM Riau II Fuel,BOA1,BOA2,NOT CERTIFIED,"94,59","96,33",100,"88,93",Basic,"Izin Prinsip, APAB"
2026-02-25,2026-02-23,54-60250,V,2026,Jl. Raya Mastrip No.237 Kebraon,Kota Surabaya,,SBM Surabaya I Fuel,BOA1,BOA2,NOT CERTIFIED,"63,34","52,33","78,34","60,41",Basic,"APAR, Izin Prinsip, Masa Berlaku APAR, APAB"
2026-02-22,2026-02-21,74-95606,VII,2026,Jalan Tondano - Kakas Kelurahan Wengkol Kecamatan Tondano Timur,Kab. Minahasa Induk,,SBM Sulutgo II Fuel,BOA1,CA,CERTIFIED,"91,44",85,"98,99","90,68",Basic,
2026-02-22,2026-02-21,54-61331,V,2026,"Jl. Desa Canggu Kec.Jetis, Kab.Mojokerto",Kab Mojokerto,DODO,SBM Surabaya I Fuel,BOA1,CA,CERTIFIED,"88,73",85,"88,5","92,03",Basic,
2026-02-22,2026-02-21,74-95616,VII,2026,"Jl. Roong Lingk II Tondano, Kab. Minahasa Induk",Kab. Minahasa Induk,,SBM Sulutgo II Fuel,BOA1,BOA2,NOT CERTIFIED,"47,55",54,"29,85",56,Basic,"DU Dispenser, APAB, Izin Prinsip, Pelumas, APAR, Masa Berlaku APAR"
2026-02-21,2026-02-21,34-42126,III,2026,"Jl. Raya Petir, Cikeusal, Serang, KAB. SERANG",Kabupaten Serang,,SBM Banten II Fuel,BOA1,CA,CERTIFIED,"94,67",85,100,"97,95",Basic,
2026-02-24,2026-02-21,34-45134,III,2026,JL.S.PARMAN PABUARAN LEUWEUNGGAJAH,Kabupaten Cirebon,,SBM Cirebon I Fuel,BOA1,CA,CERTIFIED,"89,81",83,100,"87,16",Basic,
2026-02-23,2026-02-21,54-61112,V,2026,Jl. Raya Ds.Setrohadi Kec.Duduk Sampeyan,Kab Gresik,,SBM Surabaya III Fuel,BOA1,BOA2,NOT CERTIFIED,"63,72","61,33","75,76","56,61",Basic,"HP, APAR, Pelumas, CCTV, Nol, Masa Berlaku APAR"
2026-02-24,2026-02-21,44-57729,IV,2026,"Jl. Mojo, Area Sawah/Kebun, Jaten, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57722",Kab Karanganyar,,SBM Yogyakarta IV Fuel,BOA1,CA,CERTIFIED,"94,29",86,100,"96,32",Basic,
