send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2026-01-21,2026-01-19,11-201101,I,2026,"Jl. K.L Yos Sudarso, Medan",Kota Medan,COCO,SBM Medan I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"89,81","87,67","94,52","88,2",99,"76,1",Pasti Pas Excellent,,
2026-01-27,2026-01-26,11-201102,I,2026,Jl. P. Merak Jingga No. 1 Medan,Kota Medan,COCO,SBM Medan I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"93,01",92,"98,17","92,29",99,"76,1",Pasti Pas Excellent,,
2026-01-14,2026-01-10,11-201103,I,2026,Jl. Brigjend Katamso - Medan,Kota Medan,COCO,SBM Medan I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"92,33","95,67","98,17","97,1",86,"61,5",Pasti Pas Good,,"NFR, Jalur Fast Track"
2026-01-27,2026-01-26,11-201104,I,2026,Jl.Gatot Subroto - Medan,Kota Medan,COCO,SBM Medan I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"85,3","88,67","85,43","87,85",97,58,Pasti Pas Good,,"Jalur Fast Track, NFR"
2026-01-25,2026-01-24,11-201106,I,2026,Jl. Imam Bonjol,Kota Medan,COCO,SBM Medan I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"94,91","96,67","99,04","93,44",99,"76,1",Pasti Pas Excellent,,
2026-01-28,2026-01-27,11-201107,I,2026,Jl. H.M. Yamin,Kota Medan,COCO,SBM Medan I Fuel,DAE,DAGE,CERTIFIED,NOT CERTIFIED,"91,23","91,67","98,47","91,63",100,"58,5",Pasti Pas Good,,NFR
2026-01-22,2026-01-21,11-209108,I,2026,Tol Medan Tebing Tinggi KM 64,Kab Serdang Bedagai,COCO,SBM Medan II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"93,55","96,67","98,26","94,97",97,"63,8",Pasti Pas Good,,NFR
2026-01-22,2026-01-21,11-209109,I,2026,Tol Tebing Tinggi Medan KM 65,Kab Serdang Bedagai,COCO,SBM Medan II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"92,38","95,67","98,26","94,16",97,"56,6",Pasti Pas Good,,NFR
2026-01-15,2026-01-13,11-231401,I,2026,"Jl. Sudirman, Geuce Ineum, Banda Raya, Banda Aceh",Kota Banda Aceh,COCO,SBM Aceh I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"90,59",91,"98,08","95,7","96,5","50,7",Pasti Pas Good,,NFR
2026-01-18,2026-01-14,11-251502,I,2026,Jl. S.Parman Ulak Karang Padang,Kota Padang,COCO,SBM Sumatera Barat I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"92,08","89,33","98,17","92,51",97,"76,1",Pasti Pas Excellent,,
2026-01-24,2026-01-23,11-252501,I,2026,Jl. Sutan Syahrir No.8 Mata Air,Kota Padang,COCO,SBM Sumatera Barat I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"92,07","89,33",100,"92,04","96,5","71,9",Pasti Pas Excellent,,
2026-01-19,2026-01-17,11-282604,I,2026,"Jl. Ababil No.18, Sukajadi",Kota Pekanbaru,COCO,SBM Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"88,88","88,33","98,08","92,25",95,50,Pasti Pas Good,,"NFR, Jalur Fast Track"
2026-01-06,2026-01-05,11-288601,I,2026,"Jl. Putri Tujuh, Dumai",Kota Dumai,COCO,SBM Riau II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"89,09","87,67","98,08","85,74",88,"74,31",Pasti Pas Excellent,,
2026-01-27,2026-01-23,13-207109,I,2026,"Jl.Gatot Subroto ,Kelurahan Suka Ramai Kec.Binjai Barat",Kota Binjai,CODO I,SBM Medan I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"93,3","96,67",100,"93,79",95,"60,46",Pasti Pas Good,,"NFR, Jalur Fast Track"
2026-01-28,2026-01-27,13-208106,I,2026,"Jl.Sawit Seberang- Batang Serangan, Ds.Tanjung", Kab Langkat,CODO I,SBM Medan I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"90,93","94,67",100,"91,55",93,"49,16",Pasti Pas Good,,"Jalur Fast Track, NFR"
2026-01-28,2026-01-27,13-208121,I,2026,"JL. LINTAS SUMATERA PEKAN GEBANG, L",Kota Medan,CODO I,SBM Medan I Fuel,TAG3,DAG1,CERTIFIED,NOT CERTIFIED,"92,05","93,67",100,"94,94",99,"50,6",Pasti Pas Good,,NFR
