send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-07-29,2025-07-29,74-94502,VII,2025,Jl. Saiful Muluk Kel. Tambun Kec Baulan,Kab Donggala,DODO,SBM Sulteng I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,89.36,88.67,99.04,94.68,93.00,48.10,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-29,2025-07-29,74-92903,VII,2025,"Jl. Trans Palopo â€“ Luwu Utara, Kec. Baebunta",Kab Luwu Utara,,SBM Sulselbar IV Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.07,96.67,100.00,93.43,94.00,49.73,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-28,2025-07-28,14-283624,I,2025,Jl.Lintas Timur,Kab Pelalawan,,SBM Riau III Fuel,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,92.77,94.00,100.00,92.34,92.00,65.58,Pasti Pas Good,,Jalur Fast Track
2025-07-28,2025-07-28,74-95105,VII,2025,Dendengan Dalam Manado,Kota Manado,DODO,SBM Sulutgo I Fuel,TAGE3,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,77.68,85.33,76.57,84.40,76.00,46.24,Basic,,"Jalur Fast Track, NFR, Produk JBU"
2025-07-28,2025-07-28,74-95213,VII,2025,Jl. Arie Lasut  Kombos,Kota Manado,DODO,SBM Sulutgo I Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,74.75,58.21,96.97,89.15,66.50,33.51,Basic,,"Produk JBU, NFR"
2025-07-28,2025-07-28,74-94514,VII,2025,DS. SANDANA TOLI-TOLI,Kab Toli Toli,DODO,SBM Sulteng I Fuel,DAG3,DAGE,CERTIFIED,NOT CERTIFIED,91.16,97.33,96.35,98.30,92.00,42.00,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-28,2025-07-28,54-87204,V,2025,"Lombu, Kec. Wewewa Tim., Kabupaten Sumba Barat Daya",NTT,DODO,SBM NTT I Fuel,CA,TAG1,CERTIFIED,NOT CERTIFIED,85.25,81.67,98.08,89.57,83.50,50.16,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-07-27,2025-07-27,21-30622,II,2025,"Jalan TOL Lamping - Palembang KM.311 Pedamaran, Ogan Komering Ilir",OGAN KOMERING ILIR,COCO,SBM Sumsel III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,94.75,97.67,100.00,93.53,100.00,67.30,Pasti Pas Good,,NFR
2025-07-28,2025-07-27,54-87202,V,2025,DS RADAMATA,Sumba barat daya,DODO,SBM NTT I Fuel,CA,Re-CA1,NOT CERTIFIED,NOT CERTIFIED,74.93,58.44,93.29,82.46,93.50,28.36,Basic,Izin Prinsip,"NFR, Jalur Fast Track, Izin Prinsip"
2025-07-28,2025-07-27,54-87401,V,2025,Jl. Raya Waikabubak-Anakalang Kec. Katikutana,Kab Sumba Tengah,DODO,SBM NTT I Fuel,TAG2,TAG3,CERTIFIED,NOT CERTIFIED,86.28,82.00,100.00,91.14,96.00,38.50,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-07-27,2025-07-26,14-227312,I,2025,"Jl. P. Sidempuan-Penyabungan, Manunggang",Kota PadangSidempuan,DODO,SBM Sibolga III Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,94.39,96.67,100.00,92.50,98.00,70.90,Pasti Pas Good,,Jalur Fast Track
2025-07-27,2025-07-26,14-2031146,I,2025,Jl. Medan-L. Pakam,Kab Deli Serdang,DODO,SBM Medan II Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,88.25,83.67,99.13,85.40,98.00,65.12,Pasti Pas Good,,NFR
2025-07-27,2025-07-26,14-287611,I,2025,JL.SUDIRMAN LINTAS RIAU Rokan Hilir,Kab.Rokan Hulu,DODO,SBM Riau II Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,87.29,81.89,100.00,88.45,99.00,53.78,Basic,APAB,"APAB, NFR"
