send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2025-07-26,2025-07-25,74-95714,VII,2025,"DESA KOMANGAAN, KEC. BOLAANG",Kab. Bolaang Mongondow,DODO,SBM Sulutgo II Fuel,BOA1,BOA2,NOT CERTIFIED,90.04,85.00,94.96,89.96,Basic,"Izin Prinsip, Safetyman"
2025-07-28,2025-07-25,13-261073,I,2025,Jl. Raya Bukittinggi - Payakumbuh KM 7,Kab. Agam,CODO I,SBM Sumatera Barat I Fuel,BOA1,CA,CERTIFIED,92.85,85.00,100.00,93.38,Basic,
2025-07-28,2025-07-24,14-285673,I,2025,"JL. RANTAU KASAI, KEL. TAMBUSAI UTARA",Kab Rokan Hulu,DODO,SBM Riau II Fuel,BOA1,BOA2,NOT CERTIFIED,85.19,78.67,99.04,78.92,Basic,"APAB, Pelumas, Izin Prinsip"
2025-07-25,2025-07-24,34-43317,III,2025,Kp. Cicareuh RT 05 RW 04,Kab Sukabumi,DODO,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,38.92,50.67,14.74,48.27,Basic,"ST Air, Safetyman, CCTV, Masa Berlaku APAR, Pelumas, Grounding, Izin Prinsip"
2025-07-24,2025-07-24,34-43122,III,2025,Jl. Taman Jaya 4 ,Kab. Sukabumi,DODO,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,62.52,57.33,63.67,65.70,Basic,"Izin Prinsip, Safetyman, ST Air, Masa Berlaku APAR, CCTV"
2025-07-24,2025-07-23,34-15516,III,2025,Jl.Raya salembaran kampung melayu timur teluk naga,Kab Tangerang,DODO,SBM Banten I Fuel,BOA1,BOA2,NOT CERTIFIED,48.02,31.11,72.54,41.65,Basic,"APAR, Izin Prinsip, Masa Berlaku APAR, Pelumas, CCTV, HP, Salam, ST Air, Safetyman, Grounding"
2025-07-24,2025-07-23,54-83315,V,2025,JL. RAYA SENGGIGI DUSUN MANGSIT DESA SENGGIGI,Kab. Lombok Barat,DODO,SBM NTB I Fuel,BOA1,BOA2,NOT CERTIFIED,87.76,75.33,100.00,87.90,Basic,"Izin Prinsip, APAR, Safetyman"
2025-07-23,2025-07-23,34-43125,III,2025,"Jl. Surade Kp. Neglasari , Pasir ipis",Kab. Sukabumi,DODO,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,78.38,64.00,80.03,87.35,Basic,"Safetyman, Izin Prinsip"
2025-07-23,2025-07-23,34-43214,III,2025,Jln.Raya Cibeber KM 7 CIlaku-Cianjur,Kab Cianjur,DODO,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,60.28,53.33,72.98,55.85,Basic,"Pelumas, APAR, Safetyman, Breakaway Valve, CCTV, Salam"
2025-07-24,2025-07-23,43-52324,IV,2025,JL. REST AREA KM.319-B TOL PEMALANG,Kab Tegal,CODO I,SBM Tegal I Fuel,BOA1,BOA2,NOT CERTIFIED,80.68,64.00,96.52,80.47,Basic,"Izin Prinsip, ST Air, Safetyman, Pelumas"
2025-07-23,2025-07-23,34-43120,III,2025,Kp.citamiang des.tegalbuleud kec.tegalbuleud,Kab. Sukabumi,DODO,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,51.92,54.00,36.45,61.47,Basic,"Izin Prinsip, Masa Berlaku APAR, CCTV, ST Air, Safetyman, Breakaway Valve"
2025-07-23,2025-07-23,54-83316,V,2025,Kelana Utara Parabola,Kab. Lombok Utara,DODO,SBM NTB I Fuel,BOA1,BOA2,NOT CERTIFIED,47.59,43.00,31.29,63.25,Basic,"Safetyman, Nol, Pelumas, APAR"
2025-07-23,2025-07-22,34-43231,III,2025,"Jalan raya Agrabinta, Mekarsari Agrabinta, Kab. Cianjur",Kab Cianjur,,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,70.7,54.00,78.01,77.72,Basic,"Grounding, Pelumas, Izin Prinsip, Breakaway Valve, Safetyman"
2025-07-23,2025-07-22,34-43230,III,2025,Kp. warung nenggang desa. sukamanah kec. Mande kab. Cianjur,Kab Cianjur,,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,69.96,63.33,80.83,66.00,Basic,"APAR, Masa Berlaku APAR, Izin Prinsip, ST Air, CCTV, Safetyman, Pelumas, APAB"
2025-07-23,2025-07-22,54-83114,V,2025,JL. Bung Karno Pagutan,Kodya Mataram,DODO,SBM NTB I Fuel,BOA1,BOA2,NOT CERTIFIED,69.91,53.67,86.01,70.02,Basic,"Safetyman, APAR, Nol, Masa Berlaku APAR, Pelumas"
2025-07-23,2025-07-22,34-15715,III,2025,Jl.Raya otonom desa pasir gadung cikupa,Kab Tangerang,,SBM Banten I Fuel,BOA1,BOA2,NOT CERTIFIED,74.05,54.56,96.17,72.75,Basic,"Izin Prinsip, Masa Berlaku APAR, Pelumas, Safetyman"
2025-07-23,2025-07-22,34-43233,III,2025,"Kp. Patrol Desa Sukajadi, Kec. Cibinong, Kab. Cianjur",Kab Cianjur,,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,50.32,50.67,43.56,55.16,Basic,"ST Air, Safetyman, Masa Berlaku APAR, CCTV, Izin Prinsip, Pelumas"
2025-07-23,2025-07-22,34-43232,III,2025,"Jalan Lingkar Selatan Kp. Bunipasir Kel, Maleberm, Kab. Cianjur",Kab Cianjur,,SBM Sukabumi I Fuel,BOA1,BOA2,NOT CERTIFIED,77.36,72.33,86.28,74.64,Basic,"Masa Berlaku APAR, HP, APAR, CCTV, Safetyman"
