send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-06-29,2025-06-29,54-85116,V,2025,Jl. Perintis Kemerdekaan Kel. TDM,Kota Kupang,DODO,SBM NTT I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,97.77,100.00,100.00,100.00,98.00,79.70,Pasti Pas Good,,Jalur Fast Track
2025-06-29,2025-06-28,34-40318,III,2025,"Jl. Kolonel Masturi,  Lembang",Kab Bandung Barat,DODO,SBM Bandung II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.07,96.67,92.72,95.00,93.00,49.53,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-06-28,2025-06-28,24-30735,II,2025,Jl.Merdeka LK.VII No.15 Sekayu,Kab Musi Banyuasin,DODO,SBM Sumsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.41,96.67,90.80,90.20,91.00,40.30,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-06-29,2025-06-28,34-45520,III,2025,"Jalan Raya Luragung Cibingbin, Cimahi Kuningan",Kab Kuningan,DODO,SBM Cirebon I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,90.29,95.33,100.00,89.21,81.00,57.30,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-06-29,2025-06-28,44-53125,IV,2025,"Jl. Raya Tambak - Buntu KM 28, Buniayu",Kab Banyumas,,SBM Tegal III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,94.61,100.00,100.00,93.35,98.00,61.40,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-06-28,2025-06-28,14-294728,I,2025,Jl. Komplek Aviari,Kota Batam,,SBM Kepulauan Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.74,95.00,100.00,98.00,95.00,61.40,Pasti Pas Good,,NFR
2025-06-28,2025-06-28,34-40258,III,2025,Jl. Cibolerang,Kota Bandung,DODO,SBM Bandung I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,92.31,95.33,100.00,91.75,98.00,55.56,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-06-29,2025-06-28,44-57708,IV,2025,"Jl. Ringroad Utara, Sroyo, Jaten",Kab Karanganyar,DODO,SBM Yogyakarta IV Fuel,TAGE2,TAGE3,CERTIFIED,CERTIFIED,92.42,92.67,98.08,92.10,100.00,67.70,Pasti Pas Good,,
2025-07-23,2025-06-28,34-14407,III,2025,Jl. Jembatan Tiga,Kota Jakarta Utara,DODO,SBM Jabode II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,92.1,96.52,96.52,97.00,79.00,70.00,Pasti Pas Excellent,,
2025-06-28,2025-06-28,54-67125,V,2025,Jl. Raya Ngopak Grati Pasuruan,Kab Pasuruan,,SBM Malang I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.44,88.33,93.38,90.96,99.00,48.10,Pasti Pas Good,,NFR
2025-06-29,2025-06-28,44-58205,IV,2025,Jl. Raya Randublatung,Kab Blora,DODO,SBM Semarang IV Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,92.46,100.00,100.00,88.90,98.00,48.81,Pasti Pas Good,,"NFR, Produk JBU, Jalur Fast Track"
2025-06-29,2025-06-28,74-92401,VII,2025,Jl. Poros Bantaeng Bulukumba,Kab Bantaeng,,SBM Sulselbar II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,85.6,83.00,92.72,86.68,95.00,60.46,Pasti Pas Good,,"NFR, Jalur Fast Track, Produk JBU"
2025-06-28,2025-06-28,24-31447,II,2025,KELURAHAN BANDAR AGUNG LAHAT,Kab Lahat,DODO,SBM Sumsel II Fuel,DAG1,DAG2,CERTIFIED,NOT CERTIFIED,91.75,99.00,100.00,92.20,96.00,40.08,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-06-28,2025-06-28,34-45237,III,2025,Jl Raya Lempuyang Desa Lempuyang Kec. Anjatan Kab. Indramayu,Kab Indramayu,DODO,SBM Cirebon II Fuel,TAGE2,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,81.5,81.00,83.81,91.60,95.00,42.43,Basic,,"Produk JBU, NFR, Jalur Fast Track"
2025-06-29,2025-06-28,54-63422,V,2025,Jl. Raya Bungkal - Banggel Ds. Bungkal,Kab Ponorogo,DODO,SBM Kediri III Fuel,TAG1,Re-CA1,NOT CERTIFIED,NOT CERTIFIED,73.09,67.33,82.11,76.79,75.50,53.23,Basic,PELUMAS,"NFR, Jalur Fast Track, PELUMAS"
2025-07-16,2025-06-28,44-50601,IV,2025,"Jl. Raya Bawen - Ungaran, Harjosari",Kab Semarang,DODO,SBM Semarang I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,89.11,88.33,95.21,91.60,88.00,69.30,Pasti Pas Good,,NFR
2025-06-28,2025-06-28,33-41302,III,2025,"Jl. Raya Syech Quro, Lemah Abang",Kab Karawang,,SBM Karawang II Fuel,TAG2,TAG3,CERTIFIED,NOT CERTIFIED,88.78,93.33,97.98,90.75,95.00,37.51,Pasti Pas Good,,"NFR, Produk JBU"
2025-06-28,2025-06-28,24-34104,II,2025,Jl. Raya Terbanggi Besar,Kab Lampung Tengah,DODO,SBM Lampung II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.5,95.00,100.00,91.10,95.00,52.81,Pasti Pas Good,,NFR
2025-06-29,2025-06-28,44-58125,IV,2025,Jl. Danyang - Kuwu RT 08 RW 06 Ds. Panunggalan Kec. Pulokulon    ,Kab Grobogan,DODO,SBM Semarang III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.12,94.67,100.00,95.13,95.00,41.90,Pasti Pas Good,,NFR
2025-06-29,2025-06-28,84-99601,VIII,2025,JL.Parakomando,Kab Merauke,DODO,SBM Papua Selatan - Pegunungan I ,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,92.95,98.67,100.00,98.60,88.00,48.26,Pasti Pas Good,,"Produk JBU, Jalur Fast Track, NFR"
2025-06-28,2025-06-28,34-17124,III,2025,Jl. Cut Mutiah Raya Bekasi Timur,Kota Bekasi,DODO,SBM Karawang I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,95.12,99.00,100.00,93.32,96.00,71.50,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-06-28,2025-06-28,54-66115,V,2025,Jl. Raya Siraman Kesamben,Kab Blitar,DODO,SBM Kediri II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,88.2,85.33,100.00,91.95,94.00,48.13,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-06-29,2025-06-28,44-51202,IV,2025,Jl. Raya Plelen Grinsing,Kab Batang,DODO,SBM Semarang II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,86.19,88.00,92.72,86.49,90.00,56.40,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-06-28,2025-06-28,31-12401,III,2025,Jl.Fatmawati No.6 Gandaria Selatan,Kota Jakarta Selatan,,SBM Jabode III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,98.19,98.33,100.00,95.99,100.00,94.80,Pasti Pas Excellent,,
2025-06-29,2025-06-28,44-53130,IV,2025,"Ds. Pageraji, Cilongok, Banyumas",Kab Banyumas,,SBM Tegal III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.28,99.33,100.00,92.60,98.00,51.60,Pasti Pas Good,,"Jalur Fast Track, NFR"
