send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2026-03-26,2026-03-26,34-16705,III,2026,JL Cipayung Raya Pd Rajeg,Kab Bogor,DODO,SBM Jabode V Fuel,BOA1,BOA2,NOT CERTIFIED,"91,44",88,"95,74","90,83",Basic,Masa Berlaku APAR
2026-03-26,2026-03-25,54-82111,V,2026,"DS. LALANG LINGAH - KEC.SELEMADEG, Kab. Tabanan",Kab. Tabanan,,SBM Bali II Fuel,BOA1,BOA2,NOT CERTIFIED,"61,04","53,67","70,54","59,73",Basic,"APAR, APAB, Grounding"
2026-03-26,2026-03-25,54-80332,V,2026,"JL. RAYA LUKLUK KEC. MENGWI, Kab. Badung",Kab. Badung,,SBM Bali II Fuel,BOA1,BOA2,NOT CERTIFIED,"72,43","62,33","80,26","74,05",Basic,APAR
2026-03-26,2026-03-25,63-70601,VI,2026,"JL. AHMAD YANI KM.49, KEL.SUNGAI ALAT, KEC.ASTAMBUL",KAB. BANJAR,CODO,SBM Kalsel I Fuel,BOA1,BOA2,NOT CERTIFIED,68,"49,67","82,18","71,12",Basic,"Izin Prinsip, HP, APAR"
2026-03-26,2026-03-25,54-80314,V,2026,"DESA DENKAYU, KECAMATAN MENGWI, Kab. Badung",Kab. Badung,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,"67,66","62,33","69,14","70,28",Basic,"Izin Prinsip, Pelumas, CCTV, APAR, Masa Berlaku APAR"
2026-03-26,2026-03-25,54-80324,V,2026,"DS. GERANA KECAMATAN ABIANSEMAL, Kab. Badung",Kab. Badung,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,"80,42",73,"86,89","81,31",Basic,APAR
2026-03-24,2026-03-17,54-80706,V,2026,"JL. RAYA SEMARA PUTA KLOG KANGIN, Kab. Klungkung",Kab. Klungkung,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,"66,12","53,67","67,92","73,71",Basic,"Izin Prinsip, Pelumas, APAR"
2026-03-24,2026-03-17,54-80707,V,2026,"DS. SAMPALAN KEL. DAWAN KAB. KLUNGK, Kab. Klungkung",Kab. Klungkung,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,"68,25",70,"88,71","50,57",Basic,"APAR, Masa Berlaku APAR"
2026-03-24,2026-03-17,54-80328,V,2026,"JL.BY PASS NGURAH RAI - JIMBARAN, Kab. Badung",Kab. Badung,,SBM Bali II Fuel,BOA1,BOA2,NOT CERTIFIED,"65,37",69,"67,32","60,73",Basic,"Izin Prinsip, Pelumas, CCTV, APAR"
2026-03-25,2026-03-17,24-38635,II,2026,"Jl. Raya Bengkulu Padang Ds. Pal 30 , Bengkulu utara",BENGKULU UTARA,,SBM Bengkulu I Fuel,BOA1,BOA2,NOT CERTIFIED,"87,69","86,33","99,04","80,2",Basic,"CCTV, APAR"
2026-03-24,2026-03-17,54-80334,V,2026,"JL. SUNSET ROAD KEL. KUTA, Kab. Badung",Kab. Badung,,SBM Bali II Fuel,BOA1,BOA2,NOT CERTIFIED,"67,68","60,67","83,66","60,19",Basic,"Izin Prinsip, Pelumas, APAR"
2026-03-24,2026-03-16,54-80125,V,2026,"JL.CARGO PERMAI KEL.UBUNG KEC.DPS B, Kodya Denpasar",Kodya Denpasar,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,"62,75","70,67","78,82","44,23",Basic,"Izin Prinsip, Pelumas, APAR, APAB, Grounding"
2026-03-25,2026-03-16,24-38509,II,2026,"Jl. Kayu Kunyit Desa Mangga Manna, Bengkulu Selatan",BENGKULU SELATAN,,SBM Bengkulu II Fuel,BOA1,BOA2,NOT CERTIFIED,"90,85","96,33","99,04","80,6",Basic,"CCTV, APAR"
2026-03-16,2026-03-16,34-40905,III,2026,JL.RY. SOREANG-BANJARAN BDG,Kabupaten Bandung,,SBM Bandung II Fuel,BOA1,BOA2,NOT CERTIFIED,"85,9","66,67","91,93","95,56",Basic,
2026-03-24,2026-03-16,54-80123,V,2026,Jl. Trenggana Desa Penatih,Kota Denpasar,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,52,"63,67","34,83","55,86",Basic,"Izin Prinsip, CCTV, APAR, Grounding"
2026-03-24,2026-03-16,54-80108,V,2026,JL. BY PASS PADANG GALAK,Kota Denpasar,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,"65,57",49,"92,14","58,13",Basic,APAR
2026-03-24,2026-03-16,54-80120,V,2026,"JL.COK AGUNG TRESNA, Kodya Denpasar",Kodya Denpasar,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,"62,77","57,33","55,55","71,24",Basic,"Izin Prinsip, Pelumas"
2026-03-24,2026-03-16,44-51111,IV,2026,"Jl. Kertijayan, Buaran",Kab Pekalongan,DODO,SBM Tegal II Fuel,BOA1,CA,CERTIFIED,"89,81","88,33","91,38","89,8",Basic,
2026-03-16,2026-03-15,24-34179,II,2026,KAB. LAMPUNG TENGAH,KAB. LAMPUNG TENGAH,,SBM Lampung II Fuel,BOA1,CA,CERTIFIED,"94,86","96,33","92,33","95,41",Basic,
