send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-06-20,2025-05-29,44-50139,IV,2025,Jl. Yos Sudarso No. 1,Kota Semarang,DODO,SBM Semarang I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,93.06,96.67,100.00,89.09,97.00,65.20,Pasti Pas Excellent,,
2025-05-28,2025-05-28,74-96207,VII,2025,Mananggu Kabupaten Boalemo,Kab Boalemo,DODO,SBM Sulutgo III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.08,86.67,100.00,95.38,93.00,56.96,Pasti Pas Good,,NFR
2025-05-28,2025-05-28,44-53129,IV,2025,"Jl. KH. M. Bahrun, Kec. Rawalo",Kab Banyumas,DODO,SBM Tegal III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,97.42,100.00,100.00,100.00,100.00,74.20,Pasti Pas Excellent,,
2025-05-28,2025-05-28,54-66302,V,2008,"Jl. Sukarno Hatta, Dobangsan, Ngantru, Kec. Trenggalek, Kab.Trenggalek",Kab.Trenggalek,DODO,SBM Kediri II Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,84.14,78.56,100.00,85.30,100.00,38.30,Basic,PELUMAS,"NFR, Produk JBU, PELUMAS"
2025-05-29,2025-05-28,14-214247,I,2025,"Jl. Lintas Sumatera, Pematang Seleng",Kab Labuhan Batu,DODO,SBM Sibolga III Fuel,DAG2,DAG3,CERTIFIED,NOT CERTIFIED,88.63,88.67,100.00,91.50,85.50,51.76,Pasti Pas Good,,"Produk JBU, NFR, Jalur Fast Track"
2025-05-29,2025-05-28,13-231408,I,2025,"Jl. Rama Setia, Lampaseh Kota, Kuta Raja, Kota Banda Aceh",Kota Banda Aceh,CODO I,SBM Aceh I Fuel,TAGE3,Re-CAE1,NOT CERTIFIED,NOT CERTIFIED,86.99,79.33,96.35,92.86,97.00,59.98,Basic,DU Dispenser,"NFR, Produk JBU, DU Dispenser"
2025-05-28,2025-05-28,74-95502,VII,2025,Jl.46 Kel.Girian Permai,Kota Bitung,DODO,SBM Sulutgo I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,86.07,90.00,95.44,88.10,83.00,45.16,Pasti Pas Good,,"NFR, Rompi Khusus"
2025-05-28,2025-05-28,44-53316,IV,2025,"Jl sersan sayun no 08 Majapura, Bobotsari",Kab Purbalingga,DODO,SBM Tegal III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.56,100.00,96.35,92.52,100.00,61.50,Pasti Pas Good,,"NFR, Produk JBU"
2025-05-28,2025-05-28,44-50606,IV,2009,"Jl.Semarang Magelang km. 48,6",Kab Semarang,DODO,SBM Semarang I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.92,97.33,100.00,88.61,88.00,51.76,Pasti Pas Good,,"Produk JBU, NFR"
2025-05-28,2025-05-28,54-81110,V,2025,Jl. Singaraja Air Sanih Ds. Girimas,Kab.Buleleng,DODO,SBM Bali III Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,65.69,76.22,54.68,77.95,76.00,32.23,Basic,Izin Prinsip,"NFR, Izin Prinsip"
2025-05-28,2025-05-28,34-17104,III,2009,Jl. Raya Narogong No.KM 12 17151 Kota Bekasi,Kota Bekasi,DODO,SBM Karawang I Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,79.42,69.56,92.72,75.20,88.00,61.23,Basic,Salam,"Jalur Fast Track, Salam, NFR"
2025-07-02,2025-05-28,44-59405,IV,2010,"Jl. Raya Jepara Tayu Keling Kelet, Jepara",Kab Jepara,DODO,SBM Semarang III Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,88.53,91.67,99.04,86.55,100.00,40.04,Pasti Pas Good,,"Produk JBU, NFR"
