send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2025-11-26,2025-11-26,24-32166,II,2025,Jl. Raya Ranau Simpang Sender, Kab Ogan Komering Ulu (OKU) Selatan,,SBM Sumsel III Fuel,BOA1,BOA2,NOT CERTIFIED,64.63,44.33,85.52,64.10,Basic,"Izin Prinsip, APAR"
2025-11-26,2025-11-26,64-71101,VI,2025,JL. A. YANI NO.432 BINUANG,Kab Tapin,,,BOA1,BOA2,NOT CERTIFIED,56.42,71.67,35.83,60.24,Basic,"Pelumas, Masa Berlaku APAR, Izin Prinsip, APAR"
2025-11-26,2025-11-26,64-70504,VI,2025,JL GUBERNUR SYARKAWI KEL TERENTAN,Kab Barito Kuala,,SBM Kalsel I Fuel,BOA1,BOA2,NOT CERTIFIED,73.29,64.00,96.17,63.14,Basic,"APAB, Izin Prinsip, Pelumas, APAR"
2025-11-26,2025-11-26,64-78804,VI,2025,JLN.RAYA KENDAWANGAN DESA BATU BEGE,Kab Ketapang,,,BOA1,BOA2,NOT CERTIFIED,36.41,10.00,42.22,51.57,Basic,"Pelumas, Masa Berlaku APAR, Nol, APAB, Salam, Grounding, Trims, Izin Prinsip, APAR"
2025-11-26,2025-11-26,14-213265,I,2025,"JL.JEND.SUDIRMAN KM.1,5 TJ.BALAI, D",Kota Tanjung Balai,,SBM Medan IV Fuel,BOA1,BOA2,NOT CERTIFIED,48.51,25.33,62.64,53.99,Basic,"Izin Prinsip, Produk JBU, Pelumas, APAR, Salam, CCTV, Trims, Nol"
2025-11-26,2025-11-26,63-74101,VI,2025,"jl A. Yani Km 45, Pangkalan lada kab kotawaringin barat",Kab KotawaringinBar,,SBM Kalteng II Fuel,BOA1,BOA2,NOT CERTIFIED,70.58,54.33,82.59,73.75,Basic,"Pelumas, CCTV, Izin Prinsip"
2025-11-26,2025-11-26,63-712001,VI,2025,JL. BRIGJEN H. HASAN BASRY KM. 4 RT,Kab Hulu Sungai Sel,,SBM Kalsel II Fuel,BOA1,BOA2,NOT CERTIFIED,68.69,57.67,69.38,76.47,Basic,"APAR, Izin Prinsip, Pelumas, Grounding, CCTV"
2025-11-26,2025-11-26,64-705008,VI,2025,JL TRANS KALIMANTAN 007/002 BERANG,Kab Barito Kuala,,BOA1,BOA1,BOA2,NOT CERTIFIED,57.57,37.67,80.30,55.52,Basic,"Masa Berlaku APAR, HP, Izin Prinsip, Pelumas, APAR"
2025-11-26,2025-11-25,24-334138,II,2025,JL. RAYA GANTUNG DSN PADANG I RT. 0,Kab Belitung Timur,DODO,SBM Babel II,BOA1,BOA2,NOT CERTIFIED,77.81,62.33,70.48,94.96,Basic,
2025-11-26,2025-11-25,64-78809,VI,2025,JL. RAYA TELUK BATANG KEC. TELUK BA,Kab Kayong Utara,,SBM Kalbar III Fuel,BOA1,BOA2,NOT CERTIFIED,61.87,50.67,79.82,56.52,Basic,"Masa Berlaku APAR, Grounding, Izin Prinsip, Pelumas"
