send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-10-28,2025-10-27,13-229105,I,2025,"Jl. Trans Sumatera Bukittinggi - Padang Sidempuan, Kabupaten Mandailing Natal",Kab. Madina,CODO I,SBM Sibolga III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,67.2,77.78,48.68,78.46,92.50,32.40,Basic,Izin Prinsip,"NFR, Izin Prinsip"
2025-10-28,2025-10-27,14-214266,I,2025,"Jl. Kota Pinang - Gunung Tua, Langga Payung, Kec. Sungai Kanan, Kab. Labuhanbatu Selatan",Kab. Lbuhn Baru Sltn,DODO,SBM Sibolga III Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,56.63,69.44,29.44,75.37,77.50,32.20,Basic,"Masa Berlaku APAR, Izin Prinsip","Masa Berlaku APAR, NFR, Izin Prinsip"
2025-10-27,2025-10-27,14-227259,I,2025,"Jl Lintas Langga Payung, Simpang Aek Milas, Kabupaten Padang Lawas Utara",Kab. Pdg Lawas Utara,DODO,SBM Sibolga III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,62.07,69.44,60.39,60.20,68.00,34.00,Basic,"Izin Prinsip, Jalur Fast Track","NFR, Izin Prinsip, Jalur Fast Track"
2025-10-28,2025-10-27,24-38532,II,2025,Jl. Raya Bengkulu Manna Desa Senawar,Kab Seluma,DODO,SBM Bengkulu II Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,89.82,92.67,100.00,86.54,97.50,49.50,Pasti Pas Good,,NFR
2025-10-27,2025-10-27,14-229323,I,2025,JL.WILLEM ISKANDAR 227 PENYABUNGAN,Kab. Madina,DODO,SBM Sibolga III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,75.82,83.44,78.92,75.96,86.50,29.16,Basic,"PELUMAS, Izin Prinsip, DU Dispenser, Jalur Fast Track","PELUMAS, Izin Prinsip, DU Dispenser, Jalur Fast Track, NFR"
2025-10-27,2025-10-27,14-225324,I,2025,"Jl. Sibolga Sidimpuan KM.8,5",Kab Tapanuli Tengah,DODO,SBM Sibolga II Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,89.42,90.67,100.00,90.66,90.00,50.93,Pasti Pas Good,,NFR
2025-10-27,2025-10-25,14-2856122,I,2025,Jl. Lintas Pekanbaru-Pasir Pangaraian,Kab Rokan Hulu,,SBM Riau II Fuel,TAG1,TAG2,CERTIFIED,NOT CERTIFIED,86.21,80.67,100.00,87.36,94.50,50.61,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-10-27,2025-10-25,14-227340,I,2025,"Jl. Sibuhuan - Gunung Tua, Janji Manahan, Kec. Barumun Tengah, Kabupaten Padang Lawas",Kab. Padang Lawas,DODO,SBM Sibolga III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,37.73,61.56,2.13,50.62,54.00,25.06,Basic,"Grounding, Masa Berlaku APAR, Jalur Fast Track, PELUMAS, DU Dispenser, Izin Prinsip","Grounding, Masa Berlaku APAR, NFR, Jalur Fast Track, PELUMAS, DU Dispenser, Izin Prinsip"
2025-10-27,2025-10-25,23-31519,II,2025,"Jl.Air Perikanan Kel.Nendagung, Kec.Pagar Alam Selatan, Kab.Pagar Alam, Propinsi Sumatera Selata.",KODYA PAGAR ALAM,,SBM Sumsel II Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,66.88,67.78,54.38,78.04,95.50,41.93,Basic,PELUMAS,"PELUMAS, NFR"
2025-10-27,2025-10-25,14-229320,I,2025,"Jl. Trans Sumatera Bukittinggi - Padang Sidempuan, Singengu Julu, Kec. Kotanopan, Madina",Kab. Madina,,SBM Sibolga III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,87.72,89.22,100.00,83.01,96.00,48.36,Basic,,NFR
