send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2025-10-28,2025-10-28,24-38642,II,2025,"Jl. Lintas Barat Sumatra, Desa Bintunan, Batik Nau, Propinsi Bengkulu",BENGKULU UTARA,DODO,SBM Bengkulu I Fuel,BOA1,BOA2,NOT CERTIFIED,88.57,88.00,95.21,84.36,Basic,
2025-10-28,2025-10-27,14-246101,I,2025,"Jl. Kutacane-Tigabinanga, Kuning I, Kec. Bambel, Kabupaten Aceh Tenggara",Kab. Aceh Tenggara,DODO,SBM Aceh II Fuel,BOA1,BOA2,NOT CERTIFIED,57.56,55.67,49.96,63.92,Basic,"Izin Prinsip, Pelumas, Masa Berlaku APAR, APAR"
2025-10-28,2025-10-27,14-229326,I,2025,"Jl. Trans Sumatera Bukittinggi - Padang Sidempuan, Parbangunan, Kec. Panyabungan Kab. Madina",Kab. Madina,DODO,SBM Sibolga III Fuel,BOA1,BOA2,NOT CERTIFIED,77.72,67.33,92.97,73.64,Basic,"APAR, Izin Prinsip"
2025-10-27,2025-10-27,14-235409,I,2025,"JL. COT BAU, Kodya Sabang",Kodya Sabang,DODO,SBM Aceh I Fuel,BOA1,BOA2,NOT CERTIFIED,77.73,63.00,94.96,75.76,Basic,"APAR, Izin Prinsip"
2025-10-27,2025-10-27,24-36334,II,2025,Jl.Lintas Timur Sumatera Bukit Baling Muaro Jambi,Kab Muara Jambi,DODO,SBM Jambi I Fuel,BOA1,BOA2,NOT CERTIFIED,67.16,75.67,34.17,86.08,Basic,Pelumas
2025-10-27,2025-10-27,14-246477,I,2025,"Jl. Blangkejeren - Kutacane, Rak Lunung, Kec. Blangkejeren, Kabupaten Gayo Lues",Kab. Gayo Luwes,DODO,SBM Aceh II Fuel,BOA1,BOA2,NOT CERTIFIED,66.96,57.33,73.59,68.22,Basic,"Izin Prinsip, Masa Berlaku APAR, APAB, Pelumas"
2025-10-27,2025-10-25,14-246467,I,2025,"Jl. Lintas Takengon - Blangkejeren, Kuta Lintang, Kec. Blangkejeren, Kabupaten Gayo Lues",Kab. Gayo Luwes,DODO,SBM Aceh II Fuel,BOA1,BOA2,NOT CERTIFIED,85.09,89.67,81.98,83.18,Basic,"Pelumas, Izin Prinsip"
2025-10-27,2025-10-25,64-78303,VI,2025,JL. RAYA NGABANG.,Kab Landak,DODO,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,59.97,45.67,89.84,48.19,Basic,"APAR, Izin Prinsip, Grounding, Masa Berlaku APAR, HP, Pelumas"
2025-10-25,2025-10-25,64-79305,VI,2025,JL. RAYA NGABANG PONTIANAK KM.10,Kab Landak,DODO,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,51.65,57.33,33.02,61.20,Basic,"Izin Prinsip, Pelumas, HP, APAR, Masa Berlaku APAR"
2025-10-27,2025-10-25,13-245409,I,2025,"Jl. Bandara Rembele, Wonosobo, Kec. Wih Pesam, Kabupaten Bener Meriah",Kab. Bener Meriah,CODO I,SBM Aceh II Fuel,BOA1,BOA2,NOT CERTIFIED,81.62,50.00,97.51,93.62,Basic,"Pelumas, Izin Prinsip"
2025-10-25,2025-10-24,64-75517,VI,2025,Jl. Let. Sudirman RT 12 Loa Kulu,KAB. KUTAI KERTANEGA,DODO,SBM Kaltimut II Fuel,BOA1,BOA2,NOT CERTIFIED,69.75,70.00,74.12,66.28,Basic,"Izin Prinsip, Pelumas, APAB, Produk JBU"
2025-10-25,2025-10-24,14-2826117,I,2025,Jl.Subrantas Panam  - Pekanbaru	Kota Pekanbaru,Kodya Pekan Baru,DODO,SBM Riau I Fuel,BOA1,CA,CERTIFIED,95.13,87.33,100.00,97.37,Basic,
2025-10-25,2025-10-24,64-79506,VI,2025,"JL. ADI SUCIPTO, KEL. SUNGAI AYAK,",Kab Sekadau,DODO,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,49.58,43.33,40.13,61.46,Basic,"HP, Izin Prinsip, Pelumas, CCTV, Masa Berlaku APAR, APAR"
2025-10-25,2025-10-24,14-251523,I,2025,"Jl. Khatib Sulaiman No. 50, Padang",Kota Padang,DODO,SBM Sumatera Barat II Fuel,BOA1,CA,CERTIFIED,95.4,86.33,100.00,98.75,Basic,
2025-10-25,2025-10-24,64-793001,VI,2025,JL. RY.NGABANG PONTIANAK KEC.SENGAH,Kab Landak,DODO,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,36.27,16.33,34.83,51.27,Basic,"Masa Berlaku APAR, Grounding, Trims, Pelumas, Salam, HP, Izin Prinsip, Nol, APAB"
2025-10-25,2025-10-24,54-68124,V,2025,"JL. AMBULU BALUNG LOR, Kab. Jember",Kab. Jember,DODO,SBM Malang II Fuel,BOA1,BOA2,NOT CERTIFIED,60.7,61.00,41.83,73.97,Basic,"Masa Berlaku APAR, Izin Prinsip, APAR, Pelumas"
2025-10-25,2025-10-24,14-241103,I,2025,"Jl. Beureunuen - Tangse, Mali Guyui, Kec. Sakti, Kabupaten Pidie",Kab. Pidie,DODO,SBM Aceh I Fuel,BOA1,BOA2,NOT CERTIFIED,66.33,56.67,63.82,75.52,Basic,"Pelumas, Izin Prinsip, APAR"
2025-10-25,2025-10-24,23-32231,II,2025,"DESA KARANG AGUNG, KEC. SIMPANG",Kab Ogan Kom Ulu Sel,CODO,SBM Sumsel III Fuel,BOA1,BOA2,NOT CERTIFIED,72.61,75.67,77.85,66.38,Basic,"Izin Prinsip, Masa Berlaku APAR, APAR, Pelumas"
2025-10-25,2025-10-24,14-245428,I,2025,"Jl. Raya Bireuen - Takengon, Gegerung, Kec. Wih Pesam, Kabupaten Bener Meriah",Kab. Bener Meriah,DODO,SBM Aceh II Fuel,BOA1,BOA2,NOT CERTIFIED,62.12,45.67,68.71,68.97,Basic,"Izin Prinsip, APAR, Pelumas"
2025-10-25,2025-10-24,64-77104,VI,2025,JL. SEI MAHAKAM KEL. KAMPUNG EMPAT,Kota Tarakan,DODO,SBM Kaltimut V Fuel,BOA1,BOA2,NOT CERTIFIED,85.4,82.33,91.93,82.80,Basic,Izin Prinsip
2025-10-25,2025-10-24,13-227120,I,2025,Jl.Lintas Tengah Sumatera Kel. Tolang Jae Kec. Sayur Matinggi Kab. Tapanuli Selatan,Kab. Tapanuli Selata,CODO,SBM Sibolga III Fuel,BOA1,BOA2,NOT CERTIFIED,57.19,30.00,48.49,82.45,Basic,"Izin Prinsip, Salam"
2025-10-25,2025-10-24,64-78502,VI,2025,JL. RAYA SANGGAU,Kab Sanggau,DODO,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,54.56,49.00,60.39,53.97,Basic,"APAB, Masa Berlaku APAR, Grounding, HP, CCTV, Pelumas, Izin Prinsip, APAR"
2025-10-25,2025-10-24,53-68136,VI,2025,JL. AHMAD YANI DESA AMBULU KEC. AMBULU,Kab. Jember,CODO I,SBM Malang II Fuel,BOA1,BOA2,NOT CERTIFIED,77.93,89.00,70.48,75.35,Basic,"Pelumas, Masa Berlaku APAR, Izin Prinsip, APAR"
2025-10-25,2025-10-23,63-76201,VI,2025,Jl. Kusuma Bangsa KM. 7 Kel. Janju Kec. Tanah Grogot,KAB. PASIR,CODO,SBM Kaltimut I Fuel,BOA1,BOA2,NOT CERTIFIED,91.98,83.33,100.00,92.45,Basic,Izin Prinsip
2025-10-25,2025-10-23,74-92602,VII,2025,Jl Poros Sinjai Kajang Mangara Bombang,Kab Sinjai,DODO,SBM Sulselbar II Fuel,BOA1,BOA2,NOT CERTIFIED,59.05,57.33,49.26,67.56,Basic,"Masa Berlaku APAR, APAR, Pelumas"
2025-10-25,2025-10-23,14-237422,I,2025,"Jl. Tapaktuan - Subulussalam, Gelumbuk, Kec. Kluet Sel., Kabupaten Aceh Selatan",Kab. Aceh Selatan,DODO,SBM Aceh II Fuel,BOA1,BOA2,NOT CERTIFIED,82.6,71.33,95.21,81.36,Basic,"Izin Prinsip, Pelumas"
2025-10-25,2025-10-23,14-223362,I,2025,"JL. NOMMENSEN 2002, SIGUMPAR DANGSI",Kab. Toba Samosir,DODO,SBM Sibolga II Fuel,BOA1,BOA2,NOT CERTIFIED,78.54,78.67,73.53,82.01,Basic,"Izin Prinsip, APAR, Masa Berlaku APAR"
2025-10-24,2025-10-23,64-75207,VI,2025,"JL. BUKIT BIRU, KEL.TIMBAU, KEC.TENGGARONG",KAB. KUTAI KERTANEGA,DODO,SBM Kaltimut II Fuel,BOA1,BOA2,NOT CERTIFIED,55.92,49.00,66.45,53.22,Basic,"Izin Prinsip, Masa Berlaku APAR, Pelumas, APAR, Salam"
2025-10-24,2025-10-23,64-79505,VI,2025,"Jl. NANGA TAMAN - NANGA MAHAP, DESA",Kab Sekadau,DODO,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,69.91,50.67,81.79,75.49,Basic,"Pelumas, Izin Prinsip"
2025-10-25,2025-10-23,24-32157,II,2025,JL. RAYA MARTAPURA BELITANG,Kab Ogan Kom Ulu Tim,DODO,SBM Sumsel III Fuel,BOA1,BOA2,NOT CERTIFIED,38.68,42.67,21.08,48.43,Basic,"CCTV, Pelumas, APAR, Nol, Izin Prinsip, HP, Grounding, DU Dispenser"
2025-10-23,2025-10-23,64-78514,VI,2025,JL. LINTAS BEDUAI BALAI KARANGAN DS,Kab Sanggau,DODO,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,32.65,23.00,8.58,57.78,Basic,"APAR, APAB, HP, Trims, Salam, Izin Prinsip, CCTV, Nol, Pelumas, DU Dispenser"
2025-10-25,2025-10-23,34-17206,III,2025,KP. PAMAHAN RT 001/005 JL. RAYA TAR,Kabupaten Bekasi,DODO,SBM Karawang I Fuel,BOA1,CA,CERTIFIED,92.56,86.33,95.96,94.43,Basic,
2025-10-23,2025-10-23,64-79502,VI,2025,JL. RAWAK NANGA TAMAN DS. RAWAK HUL,Kab Sekadau,DODO,SBM Kalbar II Fuel,BOA1,BOA2,NOT CERTIFIED,49.03,59.00,36.08,51.16,Basic,"Masa Berlaku APAR, Izin Prinsip, Pelumas, APAR, APAB"
2025-10-23,2025-10-23,63-772002,VI,2025,"JL. JELARAI RAYA RT.13, KEC. TANJUN",Kab Bulungan,CODO,SBM Kaltimut IV Fuel,BOA1,BOA2,NOT CERTIFIED,66.16,77.33,66.18,57.78,Basic,"Pelumas, Masa Berlaku APAR, Izin Prinsip, CCTV"
