send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-09-30,2025-09-29,14-214310,I,2025,"Jl. Lintas Sumatera, Aek Merbatu Kab. Labuhanbatu Utara",Kab Labuhan Bt Utara,,SBM Sibolga III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,78.55,94.00,61.67,90.87,95.50,38.10,Basic,Izin Prinsip,"Jalur Fast Track, Izin Prinsip, NFR"
2025-09-28,2025-09-27,13-214104,I,2025,"Jl. Lintas Sumatera, Damuli",Kab Labuhan Bt Utara,,SBM Sibolga III Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,64.8,76.78,34.82,84.53,93.50,40.00,Basic,"PELUMAS, Izin Prinsip","PELUMAS, Izin Prinsip, Jalur Fast Track, NFR"
2025-09-29,2025-09-27,14-214231,I,2025,"Jl. Lintas Sumatera, Ds. Asam Jawa",Kab Labuhan Bt Sel,DODO,SBM Sibolga III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.17,83.33,98.99,94.90,100.00,64.90,Pasti Pas Good,,NFR
2025-09-27,2025-09-27,14-284653,I,2025,Jl. Pekanbaru - Bangkinang KM.40,Kab Kampar,,SBM Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.07,92.67,99.09,93.59,95.00,63.30,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-27,2025-09-27,24-31343,II,2025,Jl. Jend. Sudirman,Kab Muara Enim,DODO,SBM Sumsel II Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,92.21,96.22,100.00,94.60,95.50,48.10,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-29,2025-09-27,24-30738,II,2025,Jl.Palembang-Jambi Km.206 ,Kab Musi Banyuasin,DODO,SBM Sumsel I Fuel,CA,TAG1,CERTIFIED,NOT CERTIFIED,89.15,97.33,100.00,85.05,89.00,40.96,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-27,2025-09-27,14-284699,I,2025,Jl.Kubang Raya Desa Tambang,Kab Kampar,,SBM Riau I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,90.77,92.00,100.00,91.60,99.00,49.50,Pasti Pas Good,,NFR
2025-09-27,2025-09-27,14-214260,I,2025,"Jl. Lintas Sumatera, Kampung Beringin Kota Pinang",Kab. Labuhan Batu,DODO,SBM Sibolga III Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,92.16,88.67,100.00,95.90,100.00,63.76,Pasti Pas Good,,NFR
2025-09-27,2025-09-27,24-311125,II,2025,"Jl. Jend. Sudirman No. 52, Prabumulih",PRABUMULIH,DODO,SBM Sumsel III Fuel,Re-CAE2,TAGE1,CERTIFIED,NOT CERTIFIED,92.34,96.22,100.00,92.52,98.00,50.93,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-09-27,2025-09-26,24-31448,II,2025,DESA TANJUNG BARU KEC.MERAPI LAHAT,LAHAT,DODO,SBM Sumsel II Fuel,TAG2,TAG3,CERTIFIED,CERTIFIED,93.97,96.67,100.00,91.88,100.00,65.86,Pasti Pas Good,,
