send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2025-09-27,2025-09-27,83-97501,VIII,2025,JL.MAULANA KEC.BANDA NEIRA,Maluku Tengah,,SBM Maluku I,BOA1,BOA2,NOT CERTIFIED,22.9,0.00,4.51,54.40,Basic,"Izin Prinsip, Grounding, APAR, DU Dispenser, EDC, Safetyman, Pelumas, Nol, Salam, HP, Trims"
2025-09-27,2025-09-26,14-2031176,I,2025,"JALAN PANTAI LABU KOTA, DESA PANTAI",Kab Deli Serdang,DODO,SBM Medan II Fuel,BOA1,BOA2,NOT CERTIFIED,81.44,79.67,74.26,87.56,Basic,"Pelumas, Izin Prinsip"
2025-09-26,2025-09-26,14-203175,I,2025,"JALAN BAKARAN BATU, LUBUK PAKAM",Kab Deli Serdang,DODO,SBM Medan II Fuel,BOA1,BOA2,NOT CERTIFIED,54.64,64.33,35.44,61.11,Basic,"Pelumas, ST Air, Breakaway Valve, APAB, Izin Prinsip, APAR, Masa Berlaku APAR"
2025-09-26,2025-09-25,13-255523,I,2025,LOKASI BATANG ANAI,Kab Padang Pariaman,CODO I,SBM Sumatera Barat I Fuel,BOA1,BOA2,NOT CERTIFIED,49.19,22.67,73.53,51.07,Basic,"ST Air, Salam, Pelumas, Masa Berlaku APAR, Izin Prinsip, Safetyman, Trims, Grounding"
2025-09-26,2025-09-25,14-201195,I,2025,JL.ZEIN HAMID MEDAN JOHOR,Kota Medan,DODO,SBM Medan I Fuel,BOA1,BOA2,NOT CERTIFIED,25.77,39.67,8.33,28.47,Basic,"Nol, CCTV, Masa Berlaku APAR, APAR, Ducting, DU Dispenser, ST Manhole, Safetyman, Izin Prinsip, ST Air, Breakaway Valve, Pelumas"
2025-09-27,2025-09-25,54-86401,V,2025,JL. PATTIMURA BAJAWA,Kab Ngada,DODO,SBM NTT III Fuel,BOA1,BOA2,NOT CERTIFIED,67.25,67.33,61.04,71.76,Basic,"Safetyman, Izin Prinsip"
2025-09-25,2025-09-25,14-201128,I,2025,"JL.PANCURBATU KM.10,35 MEDAN",Kota Medan,DODO,SBM Medan I Fuel,BOA1,BOA2,NOT CERTIFIED,44.35,33.67,52.20,46.02,Basic,"APAB, Pelumas, Izin Prinsip, Breakaway Valve, Nol, Salam, APAR, Masa Berlaku APAR, Safetyman"
2025-09-25,2025-09-25,14-255502,I,2025,JL.PADANG BUKIT TINGGI KEL.BALAH IL,Kota Pariaman,DODO,SBM Sumatera Barat I Fuel,BOA1,BOA2,NOT CERTIFIED,59.01,37.00,86.89,53.59,Basic,"DU Dispenser, Izin Prinsip, Salam, Breakaway Valve, Masa Berlaku APAR, APAR, Pelumas, ST Air, Nol"
2025-09-27,2025-09-25,54-86402,V,2025,"Jl. Raya Bajawa-Ende, Kel.Turikisa",Kab Ngada,,SBM NTT III Fuel,BOA1,BOA2,NOT CERTIFIED,73.95,86.33,47.54,84.25,Basic,"Ducting, Safetyman, Izin Prinsip"
2025-09-25,2025-09-24,14-203196,I,2025,JL. JAMINGINTING DS. PETAMPILAN,Kota Medan,DODO,SBM Medan I Fuel,BOA1,BOA2,NOT CERTIFIED,35.28,51.33,3.83,46.84,Basic,"Breakaway Valve, Nol, Pelumas, APAR, Masa Berlaku APAR, Safetyman, CCTV, DU Dispenser"
2025-09-27,2025-09-24,84-97706,VIII,2025,Jl. Trans Halmahera Utara - Kec. Malifut,Kab Halmahera Utara,DODO,SBM Maluku Utara II,BOA1,BOA2,NOT CERTIFIED,66.21,61.33,73.90,63.43,Basic,"Safetyman, APAR, Pelumas, APAB, Masa Berlaku APAR, Nol, Izin Prinsip"
2025-09-26,2025-09-24,54-86503,V,2025,"DESA CAREP, RUTENG",Kab Manggarai Barat,DODO,SBM NTT III Fuel,BOA1,BOA2,NOT CERTIFIED,83.88,80.00,95.21,77.60,Basic,"Safetyman, Izin Prinsip, Pelumas, ST Air"
2025-09-26,2025-09-24,44-57722,IV,2025,"JL. SONGGORUNGGI JATIPURO, KEL. JAT",Kab Karanganyar,DODO,SBM Yogyakarta IV Fuel,BOA1,BOA2,NOT CERTIFIED,70.64,62.33,83.71,67.08,Basic,APAR
2025-09-25,2025-09-24,14-203174,I,2025,LOKASI SIBOLANGIT,Kab. Deli Serdang,DODO,SBM Medan II Fuel,BOA1,BOA2,NOT CERTIFIED,47.2,64.00,19.83,54.57,Basic,"Breakaway Valve, APAR, Safetyman, Izin Prinsip, Masa Berlaku APAR, Pelumas"
2025-09-26,2025-09-24,54-80148,V,2025,JL. DIPONEGORO NO.09 KEL. PEDUNGAN,Kota Denpasar,DODO,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,53.85,60.00,57.83,46.60,Basic,"Ducting, ST Manhole, Izin Prinsip, APAR, Breakaway Valve, ST Air, Pelumas, CCTV, Safetyman"
2025-09-25,2025-09-24,24-34526,II,2025,JL. RAYA LIWA  - PAJAR BULAN,Kab. Tulang Bawang,DODO,SBM Lampung II Fuel,BOA1,BOA2,NOT CERTIFIED,50.55,38.67,74.12,41.30,Basic,"Breakaway Valve, APAR, Izin Prinsip, Masa Berlaku APAR, Safetyman, Pelumas, APAB, ST Manhole, Grounding"
2025-09-26,2025-09-24,13-263516,I,2025,"DESA AIR BANGIS , KEL. BUNGA TANJUN",Kab. Pasaman Barat,CODO I,SBM Sumatera Barat I Fuel,BOA1,BOA2,NOT CERTIFIED,45.46,36.00,48.69,50.12,Basic,"Nol, CCTV, ST Manhole, ST Air, Salam, Safetyman, APAR, Masa Berlaku APAR, HP"
2025-09-26,2025-09-24,54-86501,V,2025,"JL. YOS SUDARSO 15 KEL. MBAUMUKU, R",Kab Manggarai Barat,DODO,SBM NTT III Fuel,BOA1,BOA2,NOT CERTIFIED,77.23,75.00,78.92,77.68,Basic,"Ducting, Izin Prinsip, Safetyman, Pelumas"
2025-09-27,2025-09-24,24-334109,II,2025,"Jl. Balai Selatan, Desa Mayang, Kelapa Kampit, Belitung Timur",Kab Belitung Timur,DODO,SBM Babel II,BOA1,BOA2,NOT CERTIFIED,88.42,88.00,86.89,89.64,Basic,Breakaway Valve
2025-09-24,2025-09-24,64-72112,VI,2025,"Jl. Provinisi km 192,00, ds. Angsana, Kalimantan Selatan",Kab Tanah Bumbu,,SBM Kalsel III Fuel,BOA1,BOA2,NOT CERTIFIED,74.26,66.96,98.99,60.04,Basic,"Breakaway Valve, ST Manhole, Masa Berlaku APAR, ST Air"
2025-09-27,2025-09-24,84-97709,VIII,2025,Jln Trans Halmahera Desa Kupa-Kupa kecamatan Tobelo Selatan,Kab Halmahera Utara,DODO,SBM Maluku Utara II,BOA1,BOA2,NOT CERTIFIED,41.06,40.67,24.47,53.80,Basic,"Safetyman, Nol, EDC, Masa Berlaku APAR, Izin Prinsip, APAR, ST Air, HP, APAB, ST Manhole"
2025-09-26,2025-09-24,54-80256,V,2025,JL. PROF. IDA BAGUS MANTRA NO. 17X,Kota Denpasar,DODO,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,51.12,55.67,31.00,62.99,Basic,"APAR, HP, Pelumas, Safetyman, Izin Prinsip"
2025-09-25,2025-09-23,24-34524,II,2025,"Jl. Lintas Tengah, Sumatera, Kota Bumi",Kab Lampung Utara,,SBM Lampung III Fuel,BOA1,BOA2,NOT CERTIFIED,59.06,48.00,83.90,48.33,Basic,"APAB, Trims, Safetyman, Grounding, Masa Berlaku APAR, APAR, Pelumas"
2025-09-24,2025-09-23,54-68442,V,2025,JL. RAYA KARANGDORO-GENTENG DSN. SE,Banyuwangi,,SBM Malang III Fuel,BOA1,CA,CERTIFIED,89.45,86.33,96.17,86.75,Basic,
2025-09-25,2025-09-23,14-252521,I,2025,JL. THAMRIN KEL. RANAH KEC. PADANG,Kota Padang,,SBM Sumatera Barat I Fuel,BOA1,BOA2,NOT CERTIFIED,62.69,62.33,74.51,54.10,Basic,"Masa Berlaku APAR, Safetyman, Breakaway Valve, HP, Izin Prinsip, APAR, Pelumas"
2025-09-26,2025-09-23,54-61346,V,2025,"JL. KARTINI RT.001 RW.002, JASEM DS",Kab Mojokerto,DODO,SBM Surabaya I Fuel,BOA1,BOA2,NOT CERTIFIED,82.96,85.33,77.18,85.52,Basic,
2025-09-23,2025-09-23,24-34522,II,2025,JL. RAYA NEGARA NO.12,Kab Way Kanan,,SBM Lampung III Fuel,BOA1,BOA2,NOT CERTIFIED,49.36,60.67,22.67,61.00,Basic,"Safetyman, DU Dispenser, APAR, Masa Berlaku APAR"
2025-09-23,2025-09-23,54-87105,V,2025,DS. MATAWAI ATU KEC. UMALULU,Kab Sumba Timur,DODO,SBM NTT I Fuel,BOA1,BOA2,NOT CERTIFIED,65.93,53.00,79.49,64.51,Basic,"APAR, EDC, Breakaway Valve, Pelumas, Safetyman, Izin Prinsip, Nol"
2025-09-24,2025-09-23,54-68429,V,2025,"DS.WRINGINPITU,TEGALDLIMO",Banyuwangi,,SBM Malang III Fuel,BOA1,BOA2,NOT CERTIFIED,59.55,41.00,70.48,64.81,Basic,"Breakaway Valve, Safetyman, Masa Berlaku APAR, Nol, Pelumas"
2025-09-26,2025-09-23,54-85805,V,2025,JL. SLAMET RIYADI KEL. TELUK KENARI,Kab Alor,DODO,SBM NTT II Fuel,BOA1,BOA2,NOT CERTIFIED,72.7,61.33,77.91,77.05,Basic,"Safetyman, CCTV, Pelumas, Masa Berlaku APAR, Izin Prinsip"
2025-09-26,2025-09-23,74-90222,VII,2025,Jl. Perintis Kemerdekaan No. 55,Kota Makassar,,SBM Sulselbar I Fuel,BOA1,BOA2,NOT CERTIFIED,69.04,87.33,39.36,77.31,Basic,"Izin Prinsip, ST Air"
2025-09-23,2025-09-23,24-34592,II,2025,Jl. Lintas Sumatera Kelapa 7 Kota Bumi Lampung Utara,Kab Lampung Utara,,SBM Lampung III Fuel,BOA1,BOA2,NOT CERTIFIED,46.61,43.67,40.56,52.85,Basic,"Izin Prinsip, Safetyman, APAR, Masa Berlaku APAR, Salam, Pelumas"
2025-09-23,2025-09-23,34-16323,III,2025,"JALAN PRADA SAMLAWI, KP. SAWAH, DES",Kab Bogor,,SBM Jabode V Fuel,BOA1,CA,CERTIFIED,91.42,80.67,98.99,93.70,Basic,
2025-09-27,2025-09-23,84-99107,VIII,2025,"Jl. Ahmad Yani, Koti",Kota Jayapura,DODO,SBM Papua I,BOA1,BOA2,NOT CERTIFIED,88.55,91.33,87.64,87.26,Basic,ST Air
2025-09-23,2025-09-23,23-34636,II,2025,JLN. TOL TRANS SUMATERA LAMPUNG-PAL,Kab Tulang Bawang,,SBM Lampung II Fuel,BOA1,BOA2,NOT CERTIFIED,89.44,92.33,96.35,81.95,Basic,"Pelumas, Safetyman, Masa Berlaku APAR"
2025-09-24,2025-09-23,54-68426,V,2025,DS.PENGATIGAN KEC.ROGOJAMPI,Banyuwangi,,SBM Malang III Fuel,BOA1,BOA2,NOT CERTIFIED,56.68,43.00,72.76,54.37,Basic,"APAB, CCTV, Masa Berlaku APAR, Safetyman, Izin Prinsip, Nol, HP"
2025-09-26,2025-09-23,54-85801,V,2025,JL. WOLTER MONGINSIDI KALABAHI,Kab Alor,DODO,SBM NTT II Fuel,BOA1,BOA2,NOT CERTIFIED,34.76,43.33,15.10,42.13,Basic,"Safetyman, ST Air, CCTV, Pelumas, Breakaway Valve, Salam, DU Dispenser, APAB, Izin Prinsip, APAR, Ducting"
2025-09-26,2025-09-23,54-86502,V,2025,"WARDU, LABUAN BAJO",Kab Manggarai Barat,DODO,SBM NTT III Fuel,BOA1,BOA2,NOT CERTIFIED,78.13,75.67,79.62,78.86,Basic,"ST Air, Izin Prinsip, Ducting, Safetyman"
